industry,job_count
KINH DOANH,2025
MARKETING,1202
KẾ TOÁN,1029
XÂY DỰNG,733
SẢN XUẤT,637
NHÂN SỰ,570
CÔNG NGHỆ THÔNG TIN,527
LOGISTICS,401
CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),351
ĐIỆN,232
GIÁO DỤC,229
NHÀ HÀNG,197
BÁN LẺ,114
TÀI CHÍNH,111
DƯỢC,105
BIÊN PHIÊN DỊCH,97
THIẾT KẾ,96
NHÓM NGHỀ KHÁC,76
BẤT ĐỘNG SẢN,65
NĂNG LƯỢNG,35
KIẾN TRÚC,34
KHOA HỌC & KỸ THUẬT,26
PHIM VÀ TRUYỀN HÌNH,23
NGÂN HÀNG & DỊCH VỤ TÀI CHÍNH,22
LUẬT,21
HẬU CẦN,18
TIẾP THỊ,15
HÀNH CHÍNH VĂN PHÒNG,15
TƯ VẤN CHUYÊN MÔN,14
KỸ THUẬT,14
DỊCH VỤ KHÁCH HÀNG,10
DỆT MAY,6
PHÁP LÝ,4
CEO & GENERAL MANAGEMENT,3
VẬN TẢI,1
DỊCH VỤ ĂN UỐNG,1
CHÍNH PHỦ,1
